,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,narsaq,60.92,-46.05,47.53,68,100,2.48,GL,1598568909
1,kavieng,-2.57,150.8,83.16,72,49,5.26,PG,1598568910
2,hobart,-42.88,147.33,52.0,57,75,18.34,AU,1598568676
3,nanortalik,60.14,-45.24,49.46,71,100,12.75,GL,1598568912
4,kapaa,22.08,-159.32,86.0,58,20,12.75,US,1598568856
5,ushuaia,-54.8,-68.3,37.4,59,40,8.05,AR,1598568914
6,punta arenas,-53.15,-70.92,32.0,92,75,26.4,CL,1598568844
7,rongcheng,30.63,117.85,74.61,87,90,3.38,CN,1598568916
8,pisco,-13.7,-76.22,64.99,77,75,9.17,PE,1598568918
9,waipawa,-41.41,175.52,53.6,76,57,19.46,NZ,1598568919
10,mataura,-46.19,168.86,45.0,72,63,11.01,NZ,1598568920
11,aliwal north,-30.69,26.71,42.49,55,0,5.39,ZA,1598568921
12,cherskiy,68.75,161.3,41.86,92,100,1.25,RU,1598568922
13,bambous virieux,-20.34,57.76,71.6,73,40,2.24,MU,1598568923
14,port alfred,-33.59,26.89,58.14,72,0,13.15,ZA,1598568924
15,petropavlovsk-kamchatskiy,53.05,158.65,53.6,100,90,8.95,RU,1598568925
16,fortuna,40.6,-124.16,64.0,77,1,13.87,US,1598568926
17,bairiki,1.33,172.98,86.0,62,20,11.41,KI,1598568928
18,harlingen,26.19,-97.7,98.6,42,1,12.75,US,1598568915
19,comodoro rivadavia,-45.87,-67.5,55.4,47,40,16.11,AR,1598568930
20,east london,-33.02,27.91,61.95,67,2,16.64,ZA,1598568915
21,hermanus,-34.42,19.23,53.01,88,76,3.0,ZA,1598568932
22,kalengwa,-13.47,25.0,66.13,49,9,4.54,ZM,1598568933
23,busselton,-33.65,115.33,45.0,92,0,1.83,AU,1598568934
24,cape town,-33.93,18.42,55.0,87,75,6.93,ZA,1598568739
25,jamestown,42.1,-79.24,70.0,93,90,11.41,US,1598568936
26,roebourne,-20.78,117.13,75.63,36,0,5.28,AU,1598568938
